study_id,Accrued,Active Enrolling Date,Closed to Enrollment Date,Disease Site(S),national_sample,local_sample
15919844,2,,,other,0,10
69320665,,,,unknown,,0
96648885,,,,unknown,,0
41879167,,,,other,0,2000
59376567,,,,other,0,0
60090712,,,,other,0,20
77466297,,,,oncology,0,280
44222412,8,,,other,0,100
40625455,2,,,other,0,0
43518092,,,,other,0,100
35593679,,,,unknown,,10
12378766,4,,,other,0,0
96521389,4,,,other,0,20
13077341,,,,other,0,1
95849242,,,,other,0,20
41815461,,,,other,0,1
55935122,2,,,other,0,0
20892496,4,,,other,0,6
84282610,,,,other,0,3
34516356,2,,,other,0,0
67224069,90,,,other,400,400
35925266,,,,other,0,1000
65496295,,,,other,0,1000
20376040,,,,other,0,250
82395912,164,,,oncology,0,0
93966259,,,,oncology,0,12
35214867,2,,,oncology,0,0
68342389,3,,,oncology,0,0
85187085,0,,,oncology,0,24
28339343,5,,,oncology,0,0
79118729,5,,,oncology,35,0
25165950,5,,,oncology,5,0
51683992,48,,,oncology,0,0
32210517,,,,unknown,,0
35283833,,,,other,0,0
57466891,,,,other,0,100
73330521,,,,other,0,20
90334792,11,,,other,0,50
42465449,0,,,other,0,6
67160034,0,,,other,0,5
36106671,,,,other,0,10
34812213,2,,,other,0,0
19460539,68,,,other,0,100
41157648,,,,other,0,0
13962927,460,,,other,0,0
92418893,1,,,other,0,0
61501110,9,,,other,0,0
44873890,20,,,other,0,12
35606153,0,,,other,0,10
82628446,2,,,other,0,10
57365382,0,,,other,0,0
34017104,,,,other,0,1
49321287,,,,other,0,0
10060009,,,,diabetes,300,129
15843340,3,,,other,100,0
64380951,5,,,other,60,0
56723987,0,,,diabetes,0,0
29335642,18,,,diabetes,200,600
11268392,4,,,other,0,0
92327975,15,,,other,0,0
49811417,6,,,other,0,0
51420934,,,,unknown,,0
23481439,6,,,other,0,15
26850454,3,,,other,0,0
80646683,,,,other,0,7
13045483,1,,,other,0,1
56242706,0,,,oncology,0,7
25007915,3,,,other,0,7
67695498,16,,,other,0,0
30357970,,,,oncology,0,4
63579733,8,,,oncology,12,20
30770819,,,,other,0,110
76151092,0,,,other,0,18
76882903,13,,,other,0,30
65079486,3,,,oncology,0,50
51964754,6,,,oncology,0,10
95350356,68,,,oncology,0,0
33057123,0,,,other,0,6
55711006,4,,,other,0,4
29169269,0,,,oncology,0,0
25267224,5,,,oncology,0,8
70528459,1,,,oncology,0,8
65720410,,,,other,0,10
73164767,7,,,other,0,15
17960545,2,,,other,0,0
77965506,18,,,oncology,0,0
49194402,6,,,oncology,6,6
66374943,,,,other,0,4
99537965,,,,other,0,5
85516313,,,,oncology,11,11
19423552,5,,,oncology,10,5
68953111,3,,,oncology,0,3
54469554,,,,other,0,0
82895367,8,,,oncology,20,20
77679375,1,,,oncology,0,6
86567193,,,,other,0,5000
72159043,53,,,other,0,0
95341967,,,,other,0,3
42050342,2,,,other,0,3
82605183,8,,,other,0,0
53926100,5,,,other,0,2
29299690,53,,,other,0,0
67445549,13,,,other,0,30
94006591,1,,,other,0,20
98382566,15,,,other,0,0
44971879,36,,,oncology,0,0
11162762,12,,,other,0,300
24609646,,,,other,0,500
30016251,1,,,other,0,0
